Age_yrBP,CO2_ppm,Source_ice,Date,co2_ppm,Source
761453,206.1,Dome C,,,
762064,212,Dome C,,,
762871,216,Dome C,,,
763319,215,Dome C,,,
763686,225.7,Dome C,,,
763934,221.4,Dome C,,,
764249,224.1,Dome C,,,
764833,222.6,Dome C,,,
765735,216.8,Dome C,,,
766110,215.7,Dome C,,,
767096,213.5,Dome C,,,
767737,217.7,Dome C,,,
768655,222.4,Dome C,,,
769050,221.4,Dome C,,,
769514,228.1,Dome C,,,
769787,226,Dome C,,,
770133,231.5,Dome C,,,
770447,235.6,Dome C,,,
770724,238.2,Dome C,,,
770994,235.6,Dome C,,,
771260,237.7,Dome C,,,
771708,229.5,Dome C,,,
772076,230.9,Dome C,,,
773043,230,Dome C,,,
773680,233.3,Dome C,,,
774548,236.9,Dome C,,,
775051,240.5,Dome C,,,
776037,238.8,Dome C,,,
776636,243.9,Dome C,,,
777556,246.3,Dome C,,,
777900,246.1,Dome C,,,
778798,245.8,Dome C,,,
779364,243.9,Dome C,,,
780268,248.5,Dome C,,,
780612,242.8,Dome C,,,
781535,248.7,Dome C,,,
782059,246.2,Dome C,,,
783263,252.1,Dome C,,,
784147,246.9,Dome C,,,
784692,250.7,Dome C,,,
785413,253.3,Dome C,,,
785789,255.4,Dome C,,,
786587,260.3,Dome C,,,
787076,256.9,Dome C,,,
787805,248.1,Dome C,,,
788033,247.9,Dome C,,,
788887,229.5,Dome C,,,
789381,226.3,Dome C,,,
790153,218.2,Dome C,,,
790538,221.3,Dome C,,,
791491,215.4,Dome C,,,
792081,205.1,Dome C,,,
792943,204,Dome C,,,
793260,209,Dome C,,,
794608,199.4,Dome C,,,
795202,195.2,Dome C,,,
796467,189.3,Dome C,,,
797099,188.4,Dome C,,,
798512,191,Dome C,,,
